R,P,S,M,Size,Well Mixed,Random
45,48,71,92,16,false,true
19,98,40,99,16,false,true
8,19,138,91,16,false,true
28,13,137,78,16,false,true
100,57,28,71,16,false,true
77,25,96,58,16,false,true
36,123,0,97,16,false,true
0,160,0,96,16,false,true
0,124,0,132,16,false,true
0,138,0,118,16,false,true
0,131,0,125,16,false,true
0,144,0,112,16,false,true
0,169,0,87,16,false,true
0,179,0,77,16,false,true
0,208,0,48,16,false,true
0,215,0,41,16,false,true
0,203,0,53,16,false,true
0,217,0,39,16,false,true
0,207,0,49,16,false,true
0,216,0,40,16,false,true
0,239,0,17,16,false,true
0,231,0,25,16,false,true
0,243,0,13,16,false,true
0,253,0,3,16,false,true
0,250,0,6,16,false,true
0,246,0,10,16,false,true
0,256,0,0,16,false,true
