R,P,S,M,Size,Well Mixed,Random
77,66,113,0,16,false,false
102,96,58,0,16,false,false
92,60,104,0,16,false,false
37,168,51,0,16,false,false
109,42,105,0,16,false,false
22,129,105,0,16,false,false
150,50,56,0,16,false,false
38,148,70,0,16,false,false
114,53,89,0,16,false,false
44,141,71,0,16,false,false
149,32,75,0,16,false,false
39,155,62,0,16,false,false
91,25,140,0,16,false,false
78,162,16,0,16,false,false
36,78,142,0,16,false,false
128,79,49,0,16,false,false
64,64,128,0,16,false,false
122,88,46,0,16,false,false
31,52,173,0,16,false,false
220,27,9,0,16,false,false
7,71,178,0,16,false,false
160,42,54,0,16,false,false
57,103,96,0,16,false,false
84,115,57,0,16,false,false
86,47,123,0,16,false,false
80,128,48,0,16,false,false
109,55,92,0,16,false,false
32,146,78,0,16,false,false
119,56,81,0,16,false,false
60,126,70,0,16,false,false
107,52,97,0,16,false,false
57,103,96,0,16,false,false
54,107,95,0,16,false,false
139,107,10,0,16,false,false
17,110,129,0,16,false,false
172,21,63,0,16,false,false
24,174,58,0,16,false,false
116,1,139,0,16,false,false
63,193,0,0,16,false,false
0,256,0,0,16,false,false
